deviceID,time,lat,long,pm1,pm25,pm10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,sfr,temp_ext,hum_ext,join_accessible,join_avgtravtim,join_b5_sc,join_b7_sc,join_bike_lane,join_borough_in,join_boroughcod,join_bphys_id,join_collection,join_continuous,join_created_by,join_date_creat,join_time_creat,join_fcc,join_fire_lane,join_from_level,join_joinid,join_l_blockfac,join_l_high_hn,join_l_low_hn,join_l_zip,join_lsubsect,join_modified_b,join_date_modif,join_time_modif,join_nominaldir,join_nonped,join_physicalid,join_posted_spe,join_r_blockfac,join_r_high_hn,join_r_low_hn,join_r_zip,join_rsubsect,join_rw_type,join_rwjurisdic,join_sandist_in,join_seglocstat,join_segmentlen,join_shape_leng,join_snow_prior,join_special_di,join_status,join_stname_lab,join_streetwi_1,join_streetwidt,join_to_level_c,join_trafdir,join_truck_rout,join_twisted_pa,join_within_bnd,join_wkt_field,join_org_fid,join_distance,distance
30001c000f47373432363933,1579577967,40.807339,-73.943382,0.55,0.58,0.58,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,16.1,14.2,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569060382
30001c000f47373432363933,1579578035,40.807285,-73.943558,0.73,0.75,0.75,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,16.1,13.9,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569014239
30001c000f47373432363933,1579578097,40.807255,-73.943459,0.62,0.72,0.72,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,15.9,14.3,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.568979878
30001c000f47373432363933,1579578161,40.807266,-73.943443,0.96,1.15,1.15,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,15.9,14.5,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.568990158
30001c000f47373432363933,1579617761,0,0,1.6,1.9,1.9,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,18.9,15.5,,0,461640,46164001,,,4,0,F,,DCP,11/29/07,00:00.0,,,13,,12262744,299,201,11691,3C,BlockfaceID_LOAD,9/23/15,00:00.0,,,16373,0,12263277,298,208,11691,3C,1,,,,242.6991155,242.699015,S,,2,SEAGIRT AV,,28,13,TW,,N,,Point (-73,69656,0,81.22405745
30001c000f47373432363933,1579617825,0,0,1.46,9.21,15.95,11,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,18.3,15.3,,0,461640,46164001,,,4,0,F,,DCP,11/29/07,00:00.0,,,13,,12262744,299,201,11691,3C,BlockfaceID_LOAD,9/23/15,00:00.0,,,16373,0,12263277,298,208,11691,3C,1,,,,242.6991155,242.699015,S,,2,SEAGIRT AV,,28,13,TW,,N,,Point (-73,69656,0,81.22405745
30001c000f47373432363933,1579617889,0,0,0.85,3.6,4.79,14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,17.8,15.5,,0,461640,46164001,,,4,0,F,,DCP,11/29/07,00:00.0,,,13,,12262744,299,201,11691,3C,BlockfaceID_LOAD,9/23/15,00:00.0,,,16373,0,12263277,298,208,11691,3C,1,,,,242.6991155,242.699015,S,,2,SEAGIRT AV,,28,13,TW,,N,,Point (-73,69656,0,81.22405745
30001c000f47373432363933,1579617953,0,0,0.61,0.63,0.63,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,17.6,30.9,,0,461640,46164001,,,4,0,F,,DCP,11/29/07,00:00.0,,,13,,12262744,299,201,11691,3C,BlockfaceID_LOAD,9/23/15,00:00.0,,,16373,0,12263277,298,208,11691,3C,1,,,,242.6991155,242.699015,S,,2,SEAGIRT AV,,28,13,TW,,N,,Point (-73,69656,0,81.22405745
30001c000f47373432363933,1579618504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,19.3,14,,0,461640,46164001,,,4,0,F,,DCP,11/29/07,00:00.0,,,13,,12262744,299,201,11691,3C,BlockfaceID_LOAD,9/23/15,00:00.0,,,16373,0,12263277,298,208,11691,3C,1,,,,242.6991155,242.699015,S,,2,SEAGIRT AV,,28,13,TW,,N,,Point (-73,69656,0,81.22405745
30001c000f47373432363933,1579618568,40.847179,-73.870094,2.13,5.77,6.18,20,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,16,15.2,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.606038157
30001c000f47373432363933,1579618632,40.847168,-73.870102,0.81,0.91,0.91,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,14.3,16.9,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.606027427
30001c000f47373432363933,1579618692,40.847164,-73.870102,0.8,0.81,0.81,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,13.1,17.9,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.606023429
30001c000f47373432363933,1579618759,40.84716,-73.870079,1.02,2.27,2.44,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,12.4,18.2,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.606018673
